GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.queryplan.leaf,FilterAndProjectTemporalVerticesNode,6,81,0,0,1,15,1,5,1,5
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric,TemporalVertexDegree,0,97,0,2,0,23,0,4,0,3
Gradoop Temporal,org.gradoop.temporal.model.api.functions,TemporalAggregateFunction,0,17,0,2,0,4,0,3,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,TemporalElementToCSV,0,28,0,0,0,2,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,CSVLineToTemporalGraphHead,0,54,0,0,0,13,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,CSVLineToTemporalVertex,0,59,0,0,0,14,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,CSVLineToTemporalEdge,0,67,0,0,0,15,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,TemporalGraphHeadToTemporalCSVGraphHead,0,40,0,0,0,8,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,TemporalEdgeToTemporalCSVEdge,0,59,0,0,0,11,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,TemporalVertexToTemporalCSVVertex,0,47,0,0,0,9,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.io.impl.csv.functions,CSVLineToTemporalElement,5,39,2,2,1,7,2,5,0,5
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables.util,ComparableFactory,54,52,8,10,10,11,7,4,1,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,CalculateDegreesDefaultTimesFlatMap,0,15,0,0,0,3,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,CalculateDegreesFlatMap,0,19,0,0,0,3,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,BuildTemporalDegreeTree,26,57,2,4,4,13,2,4,1,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,FlatMapVertexIdEdgeInterval,19,77,3,5,1,17,3,4,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,ExtractIdIntervalMap,4,43,2,2,0,8,2,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,ExtendVertexDataWithInterval,0,31,0,0,0,8,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,FlatMapVertexIdEdgeInterval.new Object() {...},3,23,0,0,0,1,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.metric.functions,BaseCalculateDegrees,0,132,0,12,0,20,0,8,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.binning.functions,ElementsToStats,5,40,0,2,2,11,1,3,1,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.dummy,DummyTemporalGraphStatisticsFactory,19,0,0,0,5,0,5,0,5,0
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.dummy,DummyTemporalGraphStatistics,31,0,0,0,15,0,15,0,15,0
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.operators.filter.functions,FilterAndProjectTemporalVertex,0,21,0,2,0,7,0,3,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.operators.filter.functions,FilterAndProjectTemporalEdge,1,35,1,5,1,10,1,4,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.diff.functions,DiffPerElement.new Object() {...},2,17,0,0,0,1,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.diff.functions,DiffPerElement,15,82,1,10,1,22,1,7,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables,MinTimePointComparable,90,126,19,13,25,29,15,12,5,6
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables,TimeLiteralComparable,32,29,8,0,7,9,6,6,2,6
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables,TimeSelectorComparable,32,92,9,9,7,23,7,11,2,7
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables,MaxTimePointComparable,82,126,19,13,21,29,13,12,3,6
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables,TemporalComparable,0,3,0,0,0,1,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables,TimeConstantComparable,33,25,6,0,9,7,7,5,4,5
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.comparables,DurationComparable,57,107,12,2,11,21,13,6,6,6
Gradoop Temporal,org.gradoop.temporal.model.impl.layout,TemporalIndexedLayout,15,80,0,0,0,19,3,12,3,12
Gradoop Temporal,org.gradoop.temporal.model.impl.layout,TemporalGVELayout,9,50,0,0,3,13,3,9,3,9
Gradoop Temporal,org.gradoop.temporal.model.impl.layout,TemporalGraphLayoutFactory,18,127,2,2,3,29,4,6,2,6
Gradoop Temporal,org.gradoop.temporal.model.impl.layout,TemporalBaseLayoutFactory,20,110,2,4,3,24,2,14,0,13
Gradoop Temporal,org.gradoop.temporal.model.impl.layout,TemporalGraphCollectionLayoutFactory,7,67,0,0,1,17,1,8,1,8
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.estimation,CNFEstimation,22,1060,24,140,8,227,24,82,0,24
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.estimation,TemporalEstimator,0,41,0,4,0,11,0,7,0,5
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.estimation,FilterTemporalEstimator,0,89,1,5,0,22,1,9,0,7
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.estimation,JoinTemporalEstimator,0,325,1,17,0,61,1,21,0,13
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.estimation,TemporalQueryPlanEstimator,0,89,0,10,0,22,0,9,0,4
